N,t,S,SH,Epi,D
100,0.1,99.0,19.121649843516586,26.91181909547738,7.7901692519608048
100,0.5,99.0,19.121649843516586,34.744876884422112,15.623227040905524
100,0.8,98.849999999999994,19.09267764678399,38.515238693467332,19.422561046683356
100,0.9,98.75,19.073362848962255,39.237851758793965,20.164488909831721
100,1,56.0,10.816286780170996,39.812005025125629,28.995718244954627
200,0.1,99.0,19.121649843516586,26.756864321608042,7.6352144780914575
200,0.5,99.0,19.121649843516586,34.615525125628139,15.493875282111555
200,0.8,98.950000000000003,19.111992444605722,38.65739949748744,19.545407052881718
200,0.9,98.900000000000006,19.102335045694854,39.158097989949752,20.055762944254901
200,1,56.0,10.816286780170996,39.769253768844223,28.952966988673221
300,0.1,99.0,19.121649843516586,26.823331658291455,7.7016818147748749
300,0.5,99.0,19.121649843516586,34.530635678391953,15.408985834875375
300,0.8,99.0,19.121649843516586,38.400268844221102,19.278619000704516
300,0.9,98.950000000000003,19.111992444605722,39.19486683417086,20.082874389565138
300,1,56.0,10.816286780170996,39.791844221105535,28.97555744093453
400,0.1,99.0,19.121649843516586,27.00964070351759,7.8879908600010058
400,0.5,99.0,19.121649843516586,34.826080402010049,15.704430558493465
400,0.8,98.900000000000006,19.102335045694854,38.53109798994975,19.428762944254899
400,0.9,98.450000000000003,19.015418455497048,39.194145728643221,20.178727273146166
400,1,56.0,10.816286780170996,39.895311557788943,29.079024777617946
500,0.1,99.0,19.121649843516586,26.756806532663312,7.6351566891467328
500,0.5,99.0,19.121649843516586,34.792567839195982,15.670917995679398
500,0.8,98.950000000000003,19.111992444605722,38.396040201005022,19.284047756399307
500,0.9,98.700000000000003,19.063705450051387,39.170072864321611,20.106367414270228
500,1,56.0,10.816286780170996,39.838198492462304,29.021911712291313
600,0.1,99.0,19.121649843516586,26.720278894472365,7.5986290509557808
600,0.5,99.0,19.121649843516586,34.538623115577884,15.416973272061307
600,0.8,99.0,19.121649843516586,38.362251256281404,19.240601412764825
600,0.9,97.900000000000006,18.909187067477518,39.301869346733667,20.39268227925616
600,1,56.0,10.816286780170996,39.800163316582918,28.983876536411913
700,0.1,99.0,19.121649843516586,26.711663316582911,7.5900134730663327
700,0.5,99.0,19.121649843516586,34.619087939698503,15.497438096181909
700,0.8,99.0,19.121649843516586,38.230389447236185,19.108739603719599
700,0.9,98.599999999999994,19.044390652229652,39.314060301507538,20.269669649277883
700,1,56.0,10.816286780170996,39.930693467336688,29.114406687165683
800,0.1,99.0,19.121649843516586,26.658545226130656,7.5368953826140697
800,0.5,99.0,19.121649843516586,34.437138190954769,15.315488347438185
800,0.8,98.950000000000003,19.111992444605722,38.251542713567837,19.139550268962125
800,0.9,98.849999999999994,19.09267764678399,39.237226130653269,20.144548483869283
800,1,56.0,10.816286780170996,39.909487437185938,29.093200657014926
900,0.1,99.0,19.121649843516586,26.718067839195974,7.5964179956793974
