N,t,S,SH,Epi,D
100,0.1,95.0,18.349057930647231,25.529575376884424,7.1805174462371939
100,0.5,95.0,18.349057930647231,32.095422110552761,13.746364179905537
100,0.8,95.0,18.349057930647231,35.935326633165822,17.586268702518602
100,0.9,95.0,18.349057930647231,36.784984924623117,18.435926993975883
100,1,70.0,13.520358475213749,37.219037688442214,23.698679213228463
200,0.1,95.0,18.349057930647231,25.664206030150751,7.3151480995035243
200,0.5,95.0,18.349057930647231,32.254236180904527,13.905178250257293
200,0.8,95.0,18.349057930647231,35.936072864321602,17.587014933674375
200,0.9,94.900000000000006,18.329743132825495,36.606580402010046,18.276837269184551
200,1,70.0,13.520358475213749,37.433522613065328,23.913164137851577
300,0.1,95.0,18.349057930647231,25.672499999999996,7.3234420693527751
300,0.5,95.0,18.349057930647231,32.312603015075375,13.963545084428148
300,0.8,95.0,18.349057930647231,35.882437185929646,17.533379255282419
300,0.9,95.0,18.349057930647231,36.826560301507534,18.477502370860311
300,1,70.0,13.520358475213749,37.37156532663316,23.851206851419413
400,0.1,95.0,18.349057930647231,25.448173366834165,7.099115436186942
400,0.5,95.0,18.349057930647231,32.588487437185925,14.239429506538695
400,0.8,95.0,18.349057930647231,35.856454773869345,17.507396843222118
400,0.9,94.950000000000003,18.339400531736366,36.620233668341712,18.280833136605345
400,1,70.0,13.520358475213749,37.417135678391965,23.896777203178207
500,0.1,95.0,18.349057930647231,25.345527638190958,6.9964697075437288
500,0.5,95.0,18.349057930647231,32.287650753768844,13.938592823121619
500,0.8,95.0,18.349057930647231,35.576997487437183,17.227939556789956
500,0.9,94.75,18.300770936092896,36.6744824120603,18.373711475967404
500,1,70.0,13.520358475213749,37.310698492462315,23.79034001724856
600,0.1,95.0,18.349057930647231,25.456520100502509,7.1074621698552845
600,0.5,95.0,18.349057930647231,32.323077889447234,13.974019958800005
600,0.8,95.0,18.349057930647231,35.681138190954769,17.332080260307546
600,0.9,95.0,18.349057930647231,36.438050251256286,18.088992320609055
600,1,70.0,13.520358475213749,37.368226130653262,23.847867655439519
700,0.1,95.0,18.349057930647231,25.536806532663316,7.1877486020160886
700,0.5,95.0,18.349057930647231,32.345967336683415,13.99690940603619
