N,t,S,SH,Epi,D
100,0.1,96.0,18.542205908864563,24.993512562814072,6.4513066539495032
100,0.5,96.0,18.542205908864563,31.601788944723619,13.059583035859049
100,0.8,95.950000000000003,18.532548509953696,34.843379396984915,16.310830887031226
100,0.9,95.75,18.493918914310232,35.87098994974874,17.377071035438512
100,1,75.0,14.486098366300443,36.664889447236177,22.178791080935731
200,0.1,96.0,18.542205908864563,25.030414572864316,6.4882086639997523
200,0.5,96.0,18.542205908864563,31.606896984924617,13.064691076060058
200,0.8,95.950000000000003,18.532548509953696,34.942336683417089,16.409788173463387
200,0.9,95.849999999999994,18.513233712131964,35.788932160804031,17.275698448672053
200,1,75.0,14.486098366300443,36.599987437185924,22.113889070885485
300,0.1,96.0,18.542205908864563,24.900798994974878,6.3585930861103073
300,0.5,96.0,18.542205908864563,31.644846733668338,13.102640824803775
300,0.8,96.0,18.542205908864563,34.761711055276372,16.219505146411819
300,0.9,95.650000000000006,18.474604116488496,35.795999999999999,17.321395883511499
300,1,75.0,14.486098366300443,36.524341708542714,22.038243342242261
400,0.1,96.0,18.542205908864563,25.050736180904526,6.5085302720399572
400,0.5,96.0,18.542205908864563,31.78818592964824,13.245980020783673
400,0.8,95.900000000000006,18.522891111042831,34.995007537688437,16.472116426645609
400,0.9,95.799999999999997,18.503576313221096,35.930304020100508,17.426727706879404
400,1,75.0,14.486098366300443,36.615278894472361,22.129180528171915
500,0.1,96.0,18.542205908864563,25.133547738693469,6.5913418298288988
500,0.5,96.0,18.542205908864563,31.362040201005023,12.81983429214046
500,0.8,95.950000000000003,18.532548509953696,35.007072864321614,16.474524354367912
500,0.9,95.900000000000006,18.522891111042831,35.670402010050253,17.147510899007418
500,1,75.0,14.486098366300443,36.656173366834167,22.170075000533721
600,0.1,96.0,18.542205908864563,25.206982412060299,6.6647765031957347
600,0.5,96.0,18.542205908864563,31.634688442211051,13.092482533346489
600,0.8,96.0,18.542205908864563,34.79544472361809,16.253238814753523
600,0.9,95.599999999999994,18.464946717577629,35.783525125628145,17.318578408050506
600,1,75.0,14.486098366300443,36.584472361809034,22.098373995508602
700,0.1,96.0,18.542205908864563,25.384298994974877,6.8420930861103075
700,0.5,96.0,18.542205908864563,31.621241206030152,13.079035297165584
700,0.8,96.0,18.542205908864563,35.04583417085427,16.5036282619897
700,0.9,95.5,18.445631919755897,36.043914572864317,17.598282653108427
700,1,75.0,14.486098366300443,36.657077889447237,22.170979523146791
800,0.1,96.0,18.542205908864563,24.936949748743714,6.3947438398791521
800,0.5,96.0,18.542205908864563,31.43144221105528,12.88923630219071
800,0.8,96.0,18.542205908864563,34.832236180904516,16.290030272039957
800,0.9,95.5,18.445631919755893,35.77646733668341,17.33083541692752
800,1,75.0,14.486098366300443,36.642002512562804,22.155904146262365
900,0.1,96.0,18.542205908864563,24.972236180904524,6.4300302720399554
900,0.5,96.0,18.542205908864563,31.355437185929656,12.81323127706508
900,0.8,95.950000000000003,18.532548509953696,34.897163316582912,16.364614806629213
900,0.9,95.799999999999997,18.503576313221096,35.670198492462312,17.166622179241209
900,1,75.0,14.486098366300443,36.555713567839192,22.069615201538749
1000,0.1,96.0,18.542205908864563,24.834175879396987,6.2919699705324188
1000,0.5,96.0,18.542205908864563,31.594412060301512,13.052206151436943
1000,0.8,95.900000000000006,18.522891111042828,34.887417085427131,16.364525974384303
1000,0.9,95.950000000000003,18.532548509953696,35.752972361809043,17.220423851855347
1000,1,75.0,14.486098366300443,36.57621356783919,22.090115201538747
1100,0.1,96.0,18.542205908864563,25.214678391959801,6.6724724830952322
1100,0.5,96.0,18.542205908864563,31.398967336683409,12.856761427818853
1100,0.8,95.849999999999994,18.513233712131964,35.069296482412057,16.556062770280096
1100,0.9,95.700000000000003,18.484261515399364,35.842859296482416,17.358597781083045
1100,1,75.0,14.486098366300443,36.490283919597985,22.004185553297539
1200,0.1,96.0,18.542205908864563,24.744489949748743,6.2022840408841775
1200,0.5,96.0,18.542205908864563,31.570891959798995,13.028686050934425
1200,0.8,95.900000000000006,18.522891111042831,35.137158291457283,16.614267180414455
1200,0.9,95.650000000000006,18.474604116488496,35.903105527638189,17.428501411149689
1200,1,75.0,14.486098366300443,36.592876884422111,22.106778518121665
1300,0.1,96.0,18.542205908864563,25.190178391959797,6.6479724830952334
1300,0.5,96.0,18.542205908864563,31.417221105527638,12.875015196663067
1300,0.8,95.950000000000003,18.532548509953696,34.790449748743718,16.257901238790016
1300,0.9,95.799999999999997,18.503576313221096,35.785391959799,17.281815646577893
1300,1,75.0,14.486098366300443,36.554180904522617,22.068082538222164
1400,0.1,96.0,18.542205908864563,24.9946608040201,6.4524548951555332
1400,0.5,96.0,18.542205908864563,31.731751256281409,13.189545347416836
1400,0.8,95.950000000000003,18.532548509953696,34.892683417085422,16.36013490713173
1400,0.9,95.700000000000003,18.484261515399361,35.710444723618082,17.226183208218728
1400,1,75.0,14.486098366300443,36.570994974874381,22.084896608573924
1500,0.1,96.0,18.542205908864563,25.168304020100503,6.626098111235935
1500,0.5,96.0,18.542205908864563,31.535201005025122,12.992995096160561
1500,0.8,95.950000000000003,18.532548509953696,34.738736180904525,16.206187670950818
1500,0.9,95.75,18.493918914310228,35.936208542713572,17.442289628403337
1500,1,75.0,14.486098366300443,36.504062814070352,22.017964447769913
1600,0.1,96.0,18.542205908864563,24.75964070351759,6.2174347946530206
1600,0.5,96.0,18.542205908864563,31.530223618090453,12.988017709225883
1600,0.8,96.0,18.542205908864563,34.867454773869348,16.325248865004781
1600,0.9,95.75,18.493918914310228,35.816183417085441,17.322264502775194
1600,1,75.0,14.486098366300443,36.691331658291453,22.205233291991011
1700,0.1,96.0,18.542205908864563,24.984402010050253,6.4421961011856839
1700,0.5,96.0,18.542205908864563,31.506135678391963,12.963929769527393
1700,0.8,95.900000000000006,18.522891111042831,34.901603015075381,16.378711904032542
1700,0.9,95.799999999999997,18.503576313221096,35.818716080402005,17.315139767180909
1700,1,75.0,14.486098366300443,36.660992462311555,22.174894096011112
1800,0.1,96.0,18.542205908864563,25.048424623115572,6.5062187142510108
1800,0.5,96.0,18.542205908864563,31.435243718592965,12.893037809728394
1800,0.8,95.950000000000003,18.532548509953696,34.780273869346743,16.24772535939303
1800,0.9,95.75,18.493918914310228,36.081758793969854,17.587839879659619
1800,1,75.0,14.486098366300443,36.547326633165838,22.061228266865385
1900,0.1,96.0,18.542205908864563,24.885841708542713,6.3436357996781458
1900,0.5,96.0,18.542205908864563,31.81452763819096,13.272321729326384
1900,0.8,95.900000000000006,18.522891111042831,35.18568844221106,16.662797331168225
1900,0.9,95.700000000000003,18.484261515399361,35.832218592964828,17.347957077565461
1900,1,75.0,14.486098366300443,36.53567336683416,22.049575000533725
2000,0.1,96.0,18.542205908864563,25.067587939698488,6.5253820308339243
2000,0.5,96.0,18.542205908864563,31.343097989949747,12.800892081085184
2000,0.8,95.950000000000003,18.532548509953696,34.791236180904519,16.258687670950824
2000,0.9,95.549999999999997,18.455289318666761,35.873570351758794,17.418281033092033
2000,1,75.0,14.486098366300443,36.620180904522606,22.13408253822217
2100,0.1,96.0,18.542205908864563,24.504932160804017,5.9627262519394533
2100,0.5,96.0,18.542205908864563,31.250801507537687,12.708595598673117
2100,0.8,95.900000000000006,18.522891111042831,34.86703768844221,16.344146577399382
