N,t,S,SH,Epi,D
100,0.1,97.0,18.735353887081903,21.628937185929647,2.8935832988477408
100,0.5,97.0,18.735353887081903,26.46846733668341,7.7331134496015084
100,0.8,97.0,18.735353887081903,29.229811557788953,10.494457670707041
100,0.9,96.950000000000003,18.725696488171035,30.182060301507541,11.456363813336496
100,1,89.0,17.190170061343188,30.869979899497487,13.679809838154295
200,0.1,96.950000000000003,18.725696488171035,21.495796482412054,2.7700999942410203
200,0.5,97.0,18.735353887081903,26.67871859296482,7.9433647058829164
200,0.8,96.950000000000003,18.725696488171035,29.401007537688447,10.675311049517404
200,0.9,96.900000000000006,18.716039089260171,29.943396984924629,11.227357895664449
200,1,89.0,17.190170061343188,30.826123115577889,13.635953054234699
300,0.1,96.950000000000003,18.725696488171035,21.229768844221105,2.5040723560500653
300,0.5,97.0,18.735353887081903,26.423040201005023,7.687686313923118
300,0.8,97.0,18.735353887081903,29.234092964824121,10.498739077742211
300,0.9,96.900000000000006,18.716039089260171,29.952839195979902,11.236800106719727
300,1,89.0,17.190170061343188,30.629738693467328,13.439568632124145
400,0.1,97.0,18.735353887081903,21.486364321608043,2.7510104345261324
400,0.5,97.0,18.735353887081903,26.45403768844222,7.7186838013603047
400,0.8,97.0,18.735353887081903,29.315891959798996,10.580538072717088
400,0.9,96.849999999999994,18.706381690349303,30.161286432160807,11.454904741811498
400,1,89.0,17.190170061343188,30.716412060301501,13.526241998958316
500,0.1,96.950000000000003,18.725696488171035,21.591783919597994,2.8660874314269487
500,0.5,97.0,18.735353887081903,26.529517587939694,7.7941637008577924
500,0.8,97.0,18.735353887081903,29.151517587939697,10.416163700857791
500,0.9,96.900000000000006,18.716039089260171,29.90533668341709,11.189297594156912
500,1,89.0,17.190170061343188,30.616829145728637,13.426659084385452
600,0.1,97.0,18.735353887081903,21.48929396984925,2.7539400827673393
600,0.5,97.0,18.735353887081903,26.202525125628142,7.467171238546233
600,0.8,97.0,18.735353887081903,29.356540201005025,10.621186313923117
600,0.9,96.849999999999994,18.7063816903493,30.131459798994978,11.425078108645668
600,1,89.0,17.190170061343188,30.666819095477383,13.476649034134194
700,0.1,97.0,18.735353887081903,21.598331658291453,2.8629777712095494
700,0.5,97.0,18.735353887081903,26.47092211055276,7.7355682234708567
700,0.8,97.0,18.735353887081903,29.291331658291462,10.55597777120955
700,0.9,96.900000000000006,18.716039089260171,29.999198492462313,11.283159403202138
700,1,89.0,17.190170061343188,30.774937185929652,13.584767124586458
800,0.1,97.0,18.735353887081903,21.484648241206035,2.7492943541241246
800,0.5,97.0,18.735353887081903,26.61213065326633,7.876776766184423
800,0.8,97.0,18.735353887081903,29.181889447236181,10.446535560154274
800,0.9,96.900000000000006,18.716039089260168,30.077768844221104,11.361729754960933
800,1,89.0,17.190170061343188,30.677972361809044,13.487802300465853
883,0.1,97.0,18.735353887081903,21.435160804020096,2.699806916938194
900,0.5,97.0,18.735353887081903,26.571520100502511,7.836166213420606
900,0.8,97.0,18.735353887081903,29.03740954773869,10.302055660656784
900,0.9,96.799999999999997,18.696724291438436,29.966145728643216,11.269421437204779
900,1,89.0,17.190170061343188,30.69809296482412,13.507922903480926
893,0.1,97.0,18.735353887081903,21.381206030150754,2.6458521430688471
1000,0.5,97.0,18.735353887081903,26.256228643216076,7.520874756134174
1000,0.8,97.0,18.735353887081903,29.164007537688445,10.428653650606538
1000,0.9,97.0,18.735353887081903,29.965449748743719,11.230095861661814
1000,1,89.0,17.190170061343188,30.762635678391952,13.572465617048767
903,0.1,97.0,18.735353887081903,21.521447236180904,2.7860933490989965
1100,0.5,97.0,18.735353887081903,26.529678391959798,7.794324504877892
1100,0.8,97.0,18.735353887081903,29.005665829145727,10.270311942063822
1100,0.9,96.75,18.687066892527568,30.266356783919598,11.579289891392028
1100,1,89.0,17.190170061343188,30.651670854271352,13.461500792928163
913,0.1,97.0,18.735353887081903,21.74485929648241,3.0095054094005049
1200,0.5,97.0,18.735353887081903,26.500718592964823,7.7653647058829165
1200,0.8,97.0,18.735353887081903,29.233444723618096,10.498090836536182
1200,0.9,96.75,18.687066892527572,29.997464824120602,11.310397931593034
1200,1,89.0,17.190170061343188,30.760957286432159,13.570787225088967
923,0.1,97.0,18.735353887081903,22.049424623115577,3.3140707360336705
1300,0.5,97.0,18.735353887081903,26.32603015075377,7.5906762636718641
1300,0.8,97.0,18.735353887081903,29.110432160804017,10.375078273722112
1300,0.9,96.75,18.687066892527564,29.975497487437185,11.288430594909615
1300,1,89.0,17.190170061343188,30.717467336683409,13.527297275340226
933,0.1,97.0,18.735353887081903,22.219748743718593,3.4843948566366847
1400,0.5,97.0,18.735353887081903,26.472412060301515,7.7370581732196015
1400,0.8,97.0,18.735353887081903,29.485376884422102,10.750022997340203
1400,0.9,96.900000000000006,18.716039089260171,30.108195979899499,11.392156890639324
1400,1,89.0,17.190170061343188,30.695188442211055,13.505018380867861
943,0.1,97.0,18.735353887081903,22.076296482412062,3.3409425953301537
1500,0.5,97.0,18.735353887081903,26.523542713567842,7.7881888264859329
1500,0.8,97.0,18.735353887081903,29.31824371859296,10.582889831511061
1500,0.9,96.900000000000006,18.716039089260168,29.992072864321607,11.276033775061435
1500,1,89.0,17.190170061343188,30.616324120603014,13.426154059259824
953,0.1,97.0,18.735353887081903,22.324718592964825,3.5893647058829172
1593,0.5,97.0,18.735353887081903,26.617130653266333,7.8817767661844247
1600,0.8,96.900000000000006,18.716039089260168,29.325115577889449,10.609076488629274
1600,0.9,96.75,18.687066892527568,30.285673366834168,11.598606474306601
1600,1,89.0,17.190170061343188,30.67129648241206,13.48112642106887
963,0.1,97.0,18.735353887081903,22.416316582914575,3.6809626958326653
1643,0.5,97.0,18.735353887081903,26.779660804020097,8.0443069169381936
1700,0.8,97.0,18.735353887081903,29.24799497487437,10.512641087792467
1700,0.9,97.0,18.735353887081903,29.945969849246229,11.210615962164322
1700,1,89.0,17.190170061343188,30.686472361809042,13.496302300465851
973,0.1,97.0,18.735353887081903,22.609899497487437,3.8745456104055291
1693,0.5,97.0,18.735353887081903,26.893633165829147,8.1582792787472389
1800,0.8,97.0,18.735353887081903,29.346070351758794,10.610716464676885
1800,0.9,96.849999999999994,18.706381690349303,30.15684422110553,11.450462530756221
1800,1,89.0,17.190170061343188,30.668329145728642,13.478159084385453
983,0.1,97.0,18.735353887081903,22.842914572864316,4.1075606857824125
1743,0.5,97.0,18.735353887081903,26.912379396984921,8.1770255099030162
1900,0.8,97.0,18.735353887081903,29.604532663316586,10.869178776234676
1900,0.9,96.849999999999994,18.7063816903493,30.057484924623111,11.351103234273809
1900,1,89.0,17.190170061343188,30.632603015075382,13.442432953732185
993,0.1,97.0,18.735353887081903,22.615206030150752,3.8798521430688466
1793,0.5,97.0,18.735353887081903,27.36353266331659,8.6281787762346767
2000,0.8,97.0,18.735353887081903,29.160756281407039,10.425402394325129
2000,0.9,96.799999999999997,18.696724291438436,30.195979899497484,11.49925560805905
2000,1,89.0,17.190170061343188,30.72080653266331,13.530636471320127
1003,0.1,97.0,18.735353887081903,22.743796482412058,4.0084425953301519
1843,0.5,97.0,18.735353887081903,27.216937185929652,8.4815832988477418
2100,0.8,97.0,18.735353887081903,29.245444723618085,10.510090836536186
2100,0.9,96.799999999999997,18.696724291438436,30.163899497487428,11.467175206048998
2100,1,89.0,17.190170061343188,30.834050251256279,13.643880189913087
